Producto|Precio|URL
Motorola One 64 GB  negro 4 GB RAM|79999|https://www.mercadolibre.com.ar/motorola-one-64-gb-negro-4-gb-ram/p/MLA12598992?pdp_filters=category:MLA1055#searchVariation=MLA12598992&position=15&search_layout=stack&type=product&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
Motorola One Macro Dual SIM 64 GB  ultra violet 4 GB RAM|51499|https://www.mercadolibre.com.ar/motorola-one-macro-dual-sim-64-gb-ultra-violet-4-gb-ram/p/MLA15304905?pdp_filters=category:MLA1055#searchVariation=MLA15304905&position=16&search_layout=stack&type=product&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
Motorola Edge 30 Pro 256 GB  verde cosmos 12 GB RAM|189499|https://www.mercadolibre.com.ar/motorola-edge-30-pro-256-gb-verde-cosmos-12-gb-ram/p/MLA19469743?pdp_filters=category:MLA1055#searchVariation=MLA19469743&position=17&search_layout=stack&type=product&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
 Moto G30 Dual SIM 128 GB  gris tornasol 4 GB RAM|169899|https://www.mercadolibre.com.ar/moto-g30-dual-sim-128-gb-gris-tornasol-4-gb-ram/p/MLA17770116?pdp_filters=category:MLA1055#searchVariation=MLA17770116&position=18&search_layout=stack&type=product&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
Motorola G60s|51000|https://articulo.mercadolibre.com.ar/MLA-1227609813-motorola-g60s-_JM?searchVariation=175890963329#searchVariation=175890963329&position=38&search_layout=stack&type=item&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
 Moto G71 128 GB  neptune green 6 GB RAM|80999|https://www.mercadolibre.com.ar/moto-g71-128-gb-neptune-green-6-gb-ram/p/MLA18946817?pdp_filters=category:MLA1055#searchVariation=MLA18946817&position=19&search_layout=stack&type=product&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
Celular Motorola Xt2139-1 - Moto Edge 20 Lite - 128gb - Gris|76999|https://articulo.mercadolibre.com.ar/MLA-1130583613-celular-motorola-xt2139-1-moto-edge-20-lite-128gb-gris-_JM?searchVariation=174373914198#searchVariation=174373914198&position=39&search_layout=stack&type=item&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
 Moto G20 64 GB  azul cielo 4 GB RAM|84999|https://www.mercadolibre.com.ar/moto-g20-64-gb-azul-cielo-4-gb-ram/p/MLA18176776?pdp_filters=category:MLA1055#searchVariation=MLA18176776&position=20&search_layout=stack&type=product&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
 Moto G20 128 GB  verde petróleo 4 GB RAM|99999|https://www.mercadolibre.com.ar/moto-g20-128-gb-verde-petroleo-4-gb-ram/p/MLA18606484?pdp_filters=category:MLA1055#searchVariation=MLA18606484&position=21&search_layout=stack&type=product&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
Motorola G51 5G 128 GB  dorado 4 GB RAM|66990|https://www.mercadolibre.com.ar/motorola-g51-5g-128-gb-dorado-4-gb-ram/p/MLA19058237?pdp_filters=category:MLA1055#searchVariation=MLA19058237&position=22&search_layout=stack&type=product&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
Celular Motorola Moto G22 4gb Ram 128gb 6.5 Celeste Artico|48049|https://articulo.mercadolibre.com.ar/MLA-1138294656-celular-motorola-moto-g22-4gb-ram-128gb-65-celeste-artico-_JM?searchVariation=174544272633#searchVariation=174544272633&position=40&search_layout=stack&type=item&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
Smartphone Motorola Edge 30 8gb 50mp Con Nfc Android 12 |119999|https://articulo.mercadolibre.com.ar/MLA-1150561881-smartphone-motorola-edge-30-8gb-50mp-con-nfc-android-12-_JM?searchVariation=174979316867#searchVariation=174979316867&position=41&search_layout=stack&type=item&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
 Celular Motorola Moto G41 4/128gb Negro Ónix Nuevo Garantía|54990|https://articulo.mercadolibre.com.ar/MLA-1132010951-celular-motorola-moto-g41-4128gb-negro-onix-nuevo-garantia-_JM?searchVariation=174403279491#searchVariation=174403279491&position=42&search_layout=stack&type=item&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
Celular Motorola Moto E32 64gb 4gb Ram Gris Nuevo Garantía|41249|https://articulo.mercadolibre.com.ar/MLA-1149171101-celular-motorola-moto-e32-64gb-4gb-ram-gris-nuevo-garantia-_JM?searchVariation=174931941957#searchVariation=174931941957&position=43&search_layout=stack&type=item&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
Celular Motorola Moto G42 4/128gb Verde Nuevo Garantía |58438|https://articulo.mercadolibre.com.ar/MLA-1153530535-celular-motorola-moto-g42-4128gb-verde-nuevo-garantia-_JM?searchVariation=175403795730#searchVariation=175403795730&position=44&search_layout=stack&type=item&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
Celular Motorola Moto E20 32gb 2gb Ram Gris Techcel Nuevo|34500|https://articulo.mercadolibre.com.ar/MLA-1111190418-celular-motorola-moto-e20-32gb-2gb-ram-gris-techcel-nuevo-_JM?searchVariation=173879807455#searchVariation=173879807455&position=45&search_layout=stack&type=item&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
Motorola Edge Edge 128 Gb Gris 6 Gb Ram Muy Bueno|74999|https://articulo.mercadolibre.com.ar/MLA-1205617534-motorola-edge-edge-128-gb-gris-6-gb-ram-muy-bueno-_JM?searchVariation=175548766883#searchVariation=175548766883&position=46&search_layout=stack&type=item&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
Celular Motorola G52 6+128gb Negro|69999|https://articulo.mercadolibre.com.ar/MLA-1223957540-celular-motorola-g52-6128gb-negro-_JM?searchVariation=175667909932#searchVariation=175667909932&position=47&search_layout=stack&type=item&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
Motorola Moto E40 64gb 4gb Ram Refabricado Liberado|34500|https://articulo.mercadolibre.com.ar/MLA-1142392155-motorola-moto-e40-64gb-4gb-ram-refabricado-liberado-_JM?searchVariation=175891047512#searchVariation=175891047512&position=48&search_layout=stack&type=item&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
Celular Motorola Moto G22 4/128gb Celeste Techcel Nuevo Gtia|52799|https://articulo.mercadolibre.com.ar/MLA-1134189335-celular-motorola-moto-g22-4128gb-celeste-techcel-nuevo-gtia-_JM?searchVariation=174448880318#searchVariation=174448880318&position=49&search_layout=stack&type=item&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
Celular Motorola Moto G41 128/4gb Dorado Techcel Nuevo Gtia|54990|https://articulo.mercadolibre.com.ar/MLA-1128961439-celular-motorola-moto-g41-1284gb-dorado-techcel-nuevo-gtia-_JM?searchVariation=174334027911#searchVariation=174334027911&position=50&search_layout=stack&type=item&tracking_id=bcbd7abd-f148-4052-a07d-48ae11b19333
Producto|Precio|URL
 Moto E20 32 GB  gris grafito 2 GB RAM|34999|https://www.mercadolibre.com.ar/moto-e20-32-gb-gris-grafito-2-gb-ram/p/MLA18576330?pdp_filters=category:MLA1055#searchVariation=MLA18576330&position=1&search_layout=stack&type=product&tracking_id=0898005e-3bea-4e9e-b249-362fb562e3ef
 Moto G42 128 GB  verde atlántico 4 GB RAM|65999|https://www.mercadolibre.com.ar/moto-g42-128-gb-verde-atlantico-4-gb-ram/p/MLA19564575?pdp_filters=category:MLA1055#searchVariation=MLA19564575&position=2&search_layout=stack&type=product&tracking_id=0898005e-3bea-4e9e-b249-362fb562e3ef
